,age,affordability,insurance
0,63,yes,no
1,77,no,no
2,57,yes,no
3,33,no,no
4,42,yes,no
5,79,no,yes
6,54,no,no
7,32,no,yes
8,75,yes,yes
9,48,no,no
10,39,no,yes
11,42,no,yes
12,79,no,yes
13,61,no,yes
14,50,yes,yes
15,33,yes,yes
16,30,yes,no
17,18,yes,no
18,68,no,yes
19,38,yes,yes
20,13,yes,no
21,66,no,yes
22,44,no,no
23,63,yes,no
24,58,no,no
25,70,yes,no
26,59,yes,no
27,68,yes,yes
28,11,no,no
29,60,yes,no
30,55,yes,yes
31,62,yes,no
32,59,yes,yes
33,16,no,yes
34,59,no,yes
35,71,yes,no
36,37,no,yes
37,28,yes,no
38,38,no,no
39,46,yes,yes
40,13,no,yes
41,22,no,no
42,43,no,yes
43,23,yes,no
44,31,yes,no
45,43,no,no
46,11,yes,no
47,13,yes,no
48,28,no,yes
49,12,no,yes
50,61,yes,no
51,14,no,yes
52,59,no,yes
53,51,yes,no
54,13,no,yes
55,13,no,yes
56,19,no,yes
57,42,yes,yes
58,56,no,yes
59,19,yes,no
60,12,no,no
61,48,no,yes
62,58,no,yes
63,46,yes,no
64,78,no,yes
65,28,yes,no
66,53,no,yes
67,64,yes,yes
68,52,no,no
69,59,no,yes
70,18,no,no
71,40,yes,no
72,74,no,yes
73,51,yes,no
74,30,no,yes
75,49,no,yes
76,64,no,no
77,32,no,yes
78,33,no,no
79,47,no,yes
80,44,no,yes
81,16,no,no
82,37,no,no
83,51,no,no
84,35,no,yes
85,67,yes,yes
86,28,no,yes
87,73,yes,no
88,21,no,yes
89,46,yes,no
90,27,no,no
91,37,no,yes
92,69,yes,no
93,32,no,yes
94,71,yes,yes
95,79,no,yes
96,17,yes,no
97,16,yes,yes
98,76,yes,no
99,15,no,no
100,48,yes,yes
101,66,no,no
102,49,no,no
103,35,yes,no
104,18,no,yes
105,56,no,no
106,66,no,no
107,50,no,yes
108,28,no,yes
109,39,yes,yes
110,33,no,yes
111,56,yes,no
112,71,no,yes
113,48,no,yes
114,39,yes,yes
115,42,yes,yes
116,18,yes,no
117,10,yes,yes
118,26,yes,no
119,21,yes,yes
120,43,yes,no
121,65,no,no
122,64,no,yes
123,78,yes,no
124,63,no,no
125,17,no,no
126,69,yes,yes
127,20,yes,yes
128,15,yes,no
129,15,yes,yes
130,56,no,no
131,61,yes,no
132,25,no,no
133,25,no,no
134,22,no,no
135,73,yes,yes
136,61,yes,yes
137,55,no,yes
138,50,yes,no
139,23,yes,yes
140,79,yes,yes
141,53,yes,yes
142,50,no,yes
143,48,no,yes
144,26,no,yes
145,70,no,no
146,10,no,yes
147,21,yes,no
148,15,no,no
149,21,no,yes
150,79,yes,no
151,21,yes,no
152,33,yes,yes
153,38,yes,no
154,27,yes,yes
155,23,yes,no
156,51,yes,yes
157,73,yes,no
158,22,yes,yes
159,13,yes,no
160,54,no,yes
161,15,yes,yes
162,65,no,no
163,67,no,no
164,36,no,yes
165,59,no,no
166,32,yes,yes
167,35,yes,yes
168,38,no,no
169,70,yes,yes
170,38,no,yes
171,66,yes,no
172,61,yes,no
173,78,yes,no
174,60,no,no
175,42,no,yes
176,42,yes,no
177,29,no,no
178,57,yes,no
179,49,yes,yes
180,22,no,yes
181,53,no,yes
182,80,yes,no
183,46,yes,no
184,64,yes,yes
185,71,yes,no
186,28,no,yes
187,44,no,yes
188,41,no,yes
189,64,yes,no
190,30,no,no
191,35,no,yes
192,72,yes,yes
193,37,yes,yes
194,71,no,yes
195,68,no,no
196,76,yes,no
197,38,yes,no
198,53,yes,yes
199,61,yes,no
200,72,yes,yes
201,64,yes,no
202,46,no,yes
203,39,no,no
204,24,no,yes
205,28,no,yes
